"","6872-JK-1","6872-JK-2","6872-JK-3","6872-JK-4","6872-JK-51","6872-JK-52-REPREP","6872-JK-53","6872-JK-54","6872-JK-77","11067-JK-10","11067-JK-11","11067-JK-18","11067-JK-19","11067-JK-20","11067-JK-21","11067-JK-22","11067-JK-5","11067-JK-6","11067-JK-7","11067-JK-8","11067-JK-9","12039-JR-1","12039-JR-10","12039-JR-11","12039-JR-12","12039-JR-13","12039-JR-14","12039-JR-15","12039-JR-16","12039-JR-17","12039-JR-18","12039-JR-19","12039-JR-2","12039-JR-3","12039-JR-4","12039-JR-5","12039-JR-6","12039-JR-7","12039-JR-8","12039-JR-9","11391-JR-10","11391-JR-11","11391-JR-12","11391-JR-13","11391-JR-14","11391-JR-15","11391-JR-16","11391-JR-7","11391-JR-8","11391-JR-9"
"AA388235",5.54673533635538,6.00488341874083,5.54673533635538,5.54673533635538,5.54673533635538,5.54673533635538,6.04145151856071,5.76442753387687,6.10389556523024,5.67906919575177,5.75440513891428,5.77232380372766,5.69526719003976,5.68366348535709,5.49424142213668,5.77852109666697,5.68923934261601,5.89516557817145,5.49424142213668,5.96483103598391,5.96347757941179,5.7676659535897,5.84780142704206,5.84142847496846,5.63726486944693,5.83174110088315,5.64150742145769,6.03576817478878,5.87450063979887,5.77620098108338,5.63108122509237,5.63360771664938,5.67199907667468,5.42074794921457,5.65446982473926,5.71138964688239,5.73108584192047,5.77048526599774,5.73794980810075,5.81867789561663,5.84030581151038,5.74243421324673,5.56319567233602,5.56319567233602,5.75987607828877,5.77100647004863,5.8386113596784,5.76791553757006,5.76784183843411,5.7726559223126
"AA413626",6.03083311083603,6.07316504903324,6.14333188948933,6.07103898207021,5.98781023970408,6.11003729007953,5.99896864462346,6.09996709099231,6.07087001992649,6.34870699325626,6.03112077592418,5.95155481390861,6.0421995419685,6.07793468943674,6.25310448931014,5.8607690113303,6.09437383659734,6.04198962406726,5.95368798914064,6.10657718871654,6.01934413534971,6.38592941316573,5.85095132574378,6.20439190453221,6.12555750815981,6.14822905146664,6.23755002095265,6.23124621151419,6.11988925236668,6.09338499128517,6.1407289885235,5.84879651497848,5.98139874621195,5.67439820523287,6.00114108642778,5.77141841247641,6.0586156013699,6.01329028363853,6.18449394314304,6.16574676307056,6.14283650991138,6.10434164687837,6.12717355652588,5.90991545588939,6.06362315398904,6.18533769995439,5.96460909183093,6.02636609819156,6.19983637891951,5.92709631541473
"AA414768",8.06800796200458,7.65775277066266,8.00985765902259,7.96536533659982,7.9953415188248,8.11273745057935,8.02363925892591,7.53335974840743,8.38303718053591,8.04055744904525,7.83041125983395,7.85560521981947,7.91383120134018,7.99400717080521,7.64512339679659,8.10588098434104,7.97267156861885,8.18026693794106,8.16537032697677,7.9817625058057,7.97997715942663,7.66148358683001,8.0108159588168,7.881493589698,8.01086288714045,8.02709074343525,7.85048729572968,8.02732481657264,8.11982027922927,7.89494823252315,7.78935917419014,8.08061900531771,8.23677591374848,7.79985701936915,7.97097690293924,7.9515531519385,8.01102754407333,7.97056286186489,8.01345199729278,8.1618089088125,7.88288368430974,8.05745140940942,7.9692137600324,7.7739385222742,7.97262482232391,8.10916555866227,7.89407706924634,8.11655115804543,7.94699488937093,7.9983201102843
"AA465934",6.37984833913677,6.0940460043504,6.41442090183403,5.89991123829191,6.1616609325001,6.17764105115229,6.13061410417028,6.07005537009386,6.3522842126725,6.1293081579657,6.15221860692968,6.08052250399205,6.09300775277277,6.14486834159262,6.49595723468743,6.21225810736564,6.13567863848327,6.15495662560129,6.29923451000499,6.18813363888708,6.15449875398698,6.24936595009571,6.19109412351818,6.1591040370797,5.89379598624481,6.45534184807407,5.95971622167946,6.40867726410138,6.23260103779202,6.060636122787,6.42230602188805,6.21921401893477,6.07849751962076,6.23706546994778,6.35151537051098,6.38006080276826,6.20819336369088,6.15443401260757,5.90757948776069,5.97848588865796,5.99168873715121,6.29224903082739,6.18398322294485,6.19957568410001,6.28394513129763,6.19663158631983,6.09800973349144,6.2089501032314,6.18443037753968,6.22773878665448
"AA467197",6.54510748312441,6.70555294854567,6.62278979131456,6.84248766079191,6.73994101695605,6.53942751905479,6.44358725534772,6.46263572559524,6.30445781745151,6.78068806093783,6.57293835335086,6.36720681990989,6.16915632677826,6.69947388418945,6.72176026396564,6.68457585493413,6.58910993262423,6.68325236940336,6.52171181839156,6.70949907577042,6.44194353065352,7.15670760486909,6.68956595366678,6.32554852006105,6.70125483778561,6.53779871342102,6.47256163463326,6.5403074949197,6.55124129855292,6.43845477986841,6.59200658010231,6.60346651434881,6.42508161104805,6.39098310532133,6.29712060134363,6.5076319171982,6.61241147453275,6.7674832662011,6.63394825007663,6.74684330265548,6.6084636804128,6.46168380613477,6.82381165065502,7.45581105774055,6.61236350495639,6.2538189900148,6.5528797321901,6.51014775288393,6.48138515304868,6.02406491438725
"AA474408",7.03755388184295,7.04601223952402,7.18424533224932,6.99589645901376,7.06810035099363,6.90368564380783,7.13592505646961,7.21357048861243,7.03944709786181,7.10110265779759,7.1113087665258,6.85111235829009,6.99166689621994,7.09604227234226,7.03387571873956,7.04495488687183,7.03876285567032,7.2315029880331,7.29720930666508,7.08566641369779,6.94937694631376,7.14913915889795,7.15844473896576,6.91942376429218,7.07821602258356,7.05670815254531,7.06681697104537,7.17949982800115,7.09648957200267,7.26550336400143,6.97412714316859,7.07889350834996,7.1672164003415,7.01542577674077,7.14891557959428,7.22697802757151,6.93410229495543,6.98416685428637,6.86863637869001,6.94955140364751,7.06644524973178,6.84433093987054,6.98389591836156,7.12346259665466,6.93964002912218,7.12446436980708,7.14852398964756,7.007274181652,7.12108562591072,7.33469548854786
"AA536875",5.49302442816118,5.49302442816118,5.49302442816118,5.49302442816118,5.79768996481778,5.49302442816118,5.71513439144516,5.49302442816118,5.49302442816118,5.49559290300523,5.49559290300523,5.49559290300523,5.49559290300523,5.49559290300523,5.49559290300523,5.77987257753551,5.69059082348456,5.49559290300523,5.49559290300523,5.49559290300523,5.68786094312116,5.75082283492347,5.50521999613395,5.50521999613395,5.50521999613395,5.50521999613395,5.50521999613395,5.50521999613395,5.50521999613395,5.50521999613395,5.50521999613395,5.71807976356876,5.50521999613395,5.50521999613395,5.50521999613395,5.50521999613395,5.72487313990728,5.70747006563939,5.50521999613395,5.50521999613395,5.53108305274229,5.53108305274229,5.53108305274229,5.53108305274229,5.53108305274229,5.53108305274229,5.53108305274229,5.73580291797633,5.53108305274229,5.53108305274229
"AA645442",5.73539472183793,5.52694762431133,5.52694762431133,5.52694762431133,5.52694762431133,5.52694762431133,5.52694762431133,5.52694762431133,5.52694762431133,5.4915384645463,5.80995786139578,5.4915384645463,5.4915384645463,5.6809605277667,5.4915384645463,5.4915384645463,5.68653638502562,5.4915384645463,5.4915384645463,5.4915384645463,5.4915384645463,5.52488180273836,5.52488180273836,5.52488180273836,5.52488180273836,5.52488180273836,5.52488180273836,5.52488180273836,5.52488180273836,5.52488180273836,5.52488180273836,5.52488180273836,5.52488180273836,5.79849922179592,5.52488180273836,5.7305699772345,5.52488180273836,5.52488180273836,5.52488180273836,5.52488180273836,5.48155248844667,5.48155248844667,5.48155248844667,5.76749594000744,5.48155248844667,5.48155248844667,5.67644841643916,5.6862723536807,5.48155248844667,5.48155248844667
"AA914427",6.34373928872387,6.4511578186534,6.45119463847157,6.48263187679956,6.15192842629427,6.33805932465425,6.39471292798699,6.29239826210671,6.49951376158365,6.45165341936032,6.66394905949517,6.48969252116897,5.88965167969423,6.45533853312603,6.62633745797207,6.40665364629751,6.26461880753971,5.94294882406152,6.49417532580249,6.4250224550364,6.43040670414459,6.720755777336,6.23099446416047,6.07873648046874,6.3189697067726,6.5057172737883,6.55899890040833,6.24823272116115,6.2795703368252,6.62280327727542,6.86851876995757,6.62899165328901,6.51085679367905,6.4087746327325,6.20606148474831,6.2996932461573,6.51344007626647,6.43150577439215,5.7563107672657,6.00011121667252,6.27347413142498,6.28996529456665,6.44428203601866,6.36741530909613,6.40601613724498,6.36707943078332,6.31441657542467,6.44194870121235,6.48205919455778,6.39705021775303
"AA986860",7.14808301301785,6.84353840989747,6.76739053848245,6.90831062594394,6.95300777709768,7.02164692563399,7.03326194545836,7.67608216507373,6.9272653010761,7.05841190677745,6.97238514858673,7.0163209273802,6.92159987834505,7.06207907764098,7.07808543535789,7.15706068282959,7.10223174567581,6.85361447244746,7.0789749072496,6.99844275944181,7.07224199384286,6.81072241092976,7.11830853514034,7.10328107977904,7.16874282729871,7.0542374828316,7.10530443234236,6.89568888107682,6.97727234285338,7.02505348259529,7.2186076424638,7.09827837558471,7.16564298108917,7.01473684832416,6.99980958996975,6.81541307677986,6.99681509352781,6.94491816268782,7.06740695149549,7.00788728455788,7.06852492255206,6.94865314943652,7.07149735189694,6.86626448583623,7.17579701599413,7.20545673493423,6.95908109874646,7.10647054596218,6.74587095522605,7.16192451906138
